RefCode ;EffectType;Mix;FlowerSpecies
B023;neutral;23;Hyacinthoides hispanica
B023;neutral;23;Hyacinthoides sp.
B023;neutral;23;Malus pumila
B023;neutral;23;Malus sp.
B023;neutral;23;Myosotis scorpioides
B023;neutral;23;Ranunculus repens
B023;neutral;23;Sambucus nigra
B023;neutral;23;Smyrnium olosatrum
B023;neutral;23;Taraxacum officinale
B023;neutral;23;Viburnum davidii
B023;neutral;23;Viburnum opulus
B023;neutral;23;Vicia sativa
B023;neutral;23;Vicia sepium
B024;neutral;24;Penstemon hirsutus
B024;neutral;24;Potentilla fruticosa
B024;neutral;24;Monarda fistulosa
B024;neutral;24;Veronicastrum virginicum
B024;neutral;24;Solidago juncea
B024;neutral;24;Lobelia siphilitica
B024;neutral;24;Silphium terebinthinaceum
B024;neutral;24;Agastache nepetoides
B024;neutral;24;Aster laevis
B024;neutral;24;Schizachyrium scoparium
B025;exporter;25;Coccinia grandis (L.) Voigt
B025;exporter;25;Tridax procumbens
B025;exporter;25;Ruellia tuberosa Linn.
B025;exporter;25;Euphorbia heterophylla L.
B025;exporter;25;Cleome rutidosperma
B025;neutral;25;Coccinia grandis (L.) Voigt
B025;neutral;25;Tridax procumbens
B025;neutral;25;Ruellia tuberosa Linn.
B025;neutral;25;Euphorbia heterophylla L.
B025;neutral;25;Cleome rutidosperma
B026;neutral;26;Achillea millefolium
B026;neutral;26;Allium fistulosum
B026;neutral;26;Anthemis tinctoria
B026;neutral;26;Borago officinalis
B026;neutral;26;Calendula officinalis
B026;neutral;26;Camelina sativa
B026;neutral;26;Campanula rapunculoides
B026;neutral;26;Carduus nutans
B026;neutral;26;Centaurea cyanus
B026;neutral;26;Centaurea jacea
B026;neutral;26;Cichorium intybus
B026;neutral;26;Coriandrum sativum
B026;neutral;26;Daucus carota
B026;neutral;26;Echium vulgare
B026;neutral;26;Fagopyrum esculentum
B026;neutral;26;"Helianthus annuus ""Pollensorte"""
B026;neutral;26;Hypericum perforatum
B026;neutral;26;Isatis tinctoria
B026;neutral;26;Knautia arvensis
B026;neutral;26;Leucanthemum ircutianum/vulgare
B026;neutral;26;Linum grandiflorum
B026;neutral;26;Linum usitatissimum
B026;neutral;26;Lotus corniculatus
B026;neutral;26;Malva moschata
B026;neutral;26;Malva sylvestris
B026;neutral;26;Medicago lupulina
B026;neutral;26;Medicago sativa
B026;neutral;26;Melilotus albus
B026;neutral;26;Melilotus officinalis
B026;neutral;26;Onobrychis viciifolia
B026;neutral;26;Origanum vulgare
B026;neutral;26;Papaver rhoeas
B026;neutral;26;Pastinaca sativa
B026;neutral;26;Phacelia tanacetifolia
B026;neutral;26;Plantago lanceolata
B026;neutral;26;Reseda lutea
B026;neutral;26;Reseda luteola
B026;neutral;26;Salvia pratensis
B026;neutral;26;Sanguisorba minor
B026;neutral;26;Silene dioica
B026;neutral;26;Silene latifolia ssp. alba
B026;neutral;26;Silene vulgaris
B026;neutral;26;Sinapis alba
B026;neutral;26;Sinapis arvensis
B026;neutral;26;Solidago virgaurea
B026;neutral;26;Tanacetum vulgare
B026;neutral;26;Trifolium incarnatum
B026;neutral;26;Verbascum densiflorum
B026;neutral;26;Verbascum nigrum
B026;neutral;26;Vicia sativa
B027;exporter;27;Fagopyrum esculentum
B027;exporter;27;Onobrychis viciifolia
B027;exporter;27;Thinopyrum intermedium
B027;exporter;27;Helianthus annuus
B027;exporter;27;Phacelia tanacetifolia
B027;exporter;27;Trifolium  incarnatum
B027;exporter;27;Dalea candida
B027;exporter;27;Dalea purpurea
B027;exporter;27;Nassella viridula
B027;exporter;27;Schizachyrium scoparium
B027;exporter;27;Medicago sativa
B027;exporter;27;Cichorium intybus
B027;exporter;27;Bouteloua gracilis
B027;exporter;27;Trifolium resupinatum
B027;exporter;27;Trifolium pratense
B027;exporter;27;Trifolium hybridum
B027;exporter;27;Helianthus pauciflorus
B027;exporter;27;Zizia aptera
B027;exporter;27;Solidago nemoralis
B028;neutral;28;Sinapis alba
B028;neutral;28;Phacelia sp
B028;neutral;28;Vicia faba
B028;concentrator;28;Sinapis alba
B028;concentrator;28;Phacelia sp
B028;concentrator;28;Vicia faba
B029;exporter;29;Barnardia japonica
B029;exporter;29;Artemisia japonica
B029;exporter;29;Aster microcephalus var. ovatus
B029;exporter;29;Cirsium japonicum
B029;exporter;29;Coreopsis lanceolata
B029;exporter;29;Erigeron annuus
B029;exporter;29;Erigeron philadelphicus
B029;exporter;29;Galinsoga quadriradiata
B029;exporter;29;Hypochaeris radicata
B029;exporter;29;Ixeris dentata
B029;exporter;29;Ixeris stolonifera var. stolonifera
B029;exporter;29;Picris hieracioides subsp. japonica
B029;exporter;29;Pseudognaphalium affine
B029;exporter;29;Senecio vulgaris
B029;exporter;29;Sonchus oleraceus
B029;exporter;29;Taraxacum offinicale
B029;exporter;29;Adenophora triphylla var. japonica
B029;exporter;29;Dianthus superbus var. longicalycinus
B029;exporter;29;Silene armeria
B029;exporter;29;Commelina communis
B029;exporter;29;Ipomoea hederifolia
B029;exporter;29;Lagenaria siceraria var. hispida
B029;exporter;29;Indigofera pseudotinctoria
B029;exporter;29;Trifolium pratense
B029;exporter;29;Trifolium repens
B029;exporter;29;Vicia unijuga
B029;exporter;29;Geranium thunbergii
B029;exporter;29;Lamium amplexicaule
B029;exporter;29;Salvia japonica
B029;exporter;29;Oenothera biennis
B029;exporter;29;Oxalis corniculata
B029;exporter;29;Plantago lanceolata
B029;exporter;29;Veronica persica
B029;exporter;29;Sanguisorba officinalis
B029;exporter;29;Boehmeria silvestrii
B029;exporter;29;Patrinia scabiosifolia
B029;exporter;29;Viola.sp1
B029;exporter;29;Viola.sp2
B030;concentrator;30;Aster novae-angliae 
B030;concentrator;30;Agastache foeniculum 
B030;concentrator;30;Achillea millefolium 
B030;concentrator;30;Lupinus perennis 
B030;concentrator;30;Monarda fistulosa 
B030;concentrator;30;Solidago graminifolia 
B030;concentrator;30;Zizia aurea 
B030;concentrator;30;Grass species: Bouteloua curtipendula and Koeleria cristata (macrantha) 
B030;concentrator;30;Chamaecrista fasciculata 
B030;concentrator;30;Coreopsis lanceolata 
B030;concentrator;30;Phacelia tanacetifolia 
B030;concentrator;30;Rudbeckia hirta
B030;concentrator;30;Gaillardia pulchella
B030;concentrator;30;Trifolium incarnatum
B031;exporter;31;Rosa californica
B031;exporter;31;Ceanothus lemmonii
B031;exporter;31;Sambucus mexicana
B032;neutral;32;Crataegus monogyna Jacq.
B032;neutral;32;Prunus spinose L.
B032;concentrator;32;Crataegus monogyna Jacq.
B032;concentrator;32;Prunus spinose L.
B033;neutral;33;Zizia aurea
B033;neutral;33;Penstemon digitalis
B033;neutral;33;Coreopsis lanceolata
B033;neutral;33;Potentilla fruticosa
B033;neutral;33;Veronicastrum virginicum
B033;neutral;33;Agastache neptoides
B033;neutral;33;Silphium perfoliatum
B033;neutral;33;Lobelia siphilitica
B033;neutral;33;Solidago canadensis
B033;exporter;33;Zizia aurea
B033;exporter;33;Penstemon digitalis
B033;exporter;33;Coreopsis lanceolata
B033;exporter;33;Potentilla fruticosa
B033;exporter;33;Veronicastrum virginicum
B033;exporter;33;Agastache neptoides
B033;exporter;33;Silphium perfoliatum
B033;exporter;33;Lobelia siphilitica
B033;exporter;33;Solidago canadensis
B034;neutral;34;Achillea millefolium
B034;neutral;34;Allium fistulosum
B034;neutral;34;Anthemis tinctoria
B034;neutral;34;Borago officinalis
B034;neutral;34;Calendula officinalis
B034;neutral;34;Camelina sativa
B034;neutral;34;Campanula rapunculoides
B034;neutral;34;Carduus nutans
B034;neutral;34;Centaurea cyanus
B034;neutral;34;Centaurea jacea
B034;neutral;34;Cichorium intybus
B034;neutral;34;Coriandrum sativum
B034;neutral;34;Daucus carota
B034;neutral;34;Echium vulgare
B034;neutral;34;Fagopyrum esculentum
B034;neutral;34;"Helianthus annuus ""Pollensorte"""
B034;neutral;34;Hypericum perforatum
B034;neutral;34;Isatis tinctoria
B034;neutral;34;Knautia arvensis
B034;neutral;34;Leucanthemum ircutianum/vulgare
B034;neutral;34;Linum grandiflorum
B034;neutral;34;Linum usitatissimum
B034;neutral;34;Lotus corniculatus
B034;neutral;34;Malva moschata
B034;neutral;34;Malva sylvestris
B034;neutral;34;Medicago lupulina
B034;neutral;34;Medicago sativa
B034;neutral;34;Melilotus albus
B034;neutral;34;Melilotus officinalis
B034;neutral;34;Onobrychis viciifolia
B034;neutral;34;Origanum vulgare
B034;neutral;34;Papaver rhoeas
B034;neutral;34;Pastinaca sativa
B034;neutral;34;Phacelia tanacetifolia
B034;neutral;34;Plantago lanceolata
B034;neutral;34;Reseda lutea
B034;neutral;34;Reseda luteola
B034;neutral;34;Salvia pratensis
B034;neutral;34;Sanguisorba minor
B034;neutral;34;Silene dioica
B034;neutral;34;Silene latifolia ssp. alba
B034;neutral;34;Silene vulgaris
B034;neutral;34;Sinapis alba
B034;neutral;34;Sinapis arvensis
B034;neutral;34;Solidago virgaurea
B034;neutral;34;Tanacetum vulgare
B034;neutral;34;Trifolium incarnatum
B034;neutral;34;Verbascum densiflorum
B034;neutral;34;Verbascum nigrum
B034;neutral;34;Vicia sativa
