RefCode ;CropType;FlowerSpecies;Mix
B015;blueberry (Vaccinium corymbosum);Monarda fistulosa;16
B015;blueberry (Vaccinium corymbosum);Eupatorium maculatum;16
B015;blueberry (Vaccinium corymbosum);Eupatorium perfoliatum;16
B015;blueberry (Vaccinium corymbosum);Lobelia siphilitica;16
B015;blueberry (Vaccinium corymbosum);Ratibida pinnata;16
B015;blueberry (Vaccinium corymbosum);Silphium perfoliatum;16
B015;blueberry (Vaccinium corymbosum);Solidago rigida;16
B015;blueberry (Vaccinium corymbosum);Symphyotrichum novae-angliae;16
B015;blueberry (Vaccinium corymbosum);Symphyotrichum laeve;16
B015;blueberry (Vaccinium corymbosum);Elymus canadensis;16
B015;blueberry (Vaccinium corymbosum);Sorghastrum nutans;16
B015;blueberry (Vaccinium corymbosum);Andropogon gerardii;16
B016;tomato (Solanum lycopersicum);Ceanothus spp.;17
B016;tomato (Solanum lycopersicum);Rhamnus californica;17
B016;tomato (Solanum lycopersicum);Eriogonum fasciculatum;17
B016;tomato (Solanum lycopersicum);Heteromeles arbutifolia;17
B016;tomato (Solanum lycopersicum);Sambucus mexicana;17
B016;tomato (Solanum lycopersicum);Baccharis pilularis;17
B017;strawberry (Fragaria ananassa);NA;NA
B018;sunflower (Helianthus annuus);Borago officinalis;18
B018;sunflower (Helianthus annuus);Calendula arvensis;18
B018;sunflower (Helianthus annuus);Coriandrum sativum;18
B018;sunflower (Helianthus annuus);Salvia pratensis;18
B018;sunflower (Helianthus annuus);Melilotus officinalis;18
B018;sunflower (Helianthus annuus);Diplotaxis erucoides;18
B018;sunflower (Helianthus annuus);Echium plantagineum;18
B018;sunflower (Helianthus annuus);Silene vulgaris;18
B018;sunflower (Helianthus annuus);Vicia sativa;18
B018;sunflower (Helianthus annuus);Nigella damascena;18
B018;sunflower (Helianthus annuus);Sinapis alba;18
B018;sunflower (Helianthus annuus);Medicago sativa;18
B019;almond (Prunus dulcis);NA;NA
B020;melon (Cucumis melo);Calendula officinalis L.;19
B020;melon (Cucumis melo);Coriandrum sativum;19
B020;melon (Cucumis melo);Nigella gallica L.;19
B020;melon (Cucumis melo);Lobularia marítima L.;19
B020;melon (Cucumis melo);Borago officinalis;19
B020;melon (Cucumis melo);Diplotaxis virgata Cav.;19
B020;melon (Cucumis melo);Diplotaxis catholica;19
B020;melon (Cucumis melo);Medicago sativa;19
B020;melon (Cucumis melo);Salvia verbenaca;19
B020;melon (Cucumis melo);Silene vulgaris;19
B020;melon (Cucumis melo);Vicia sativa;19
B021;avocado (Persea americana);Eryngium paniculatum Cav. & Dombey ex F. Delaroche;20
B021;avocado (Persea americana);Baccharis linearis (Ruiz & Pav.) Pers.;20
B021;avocado (Persea americana);Encelia canescens Lam.;20
B021;avocado (Persea americana);Erigeron luxurians (Skottsb.) Solbrig;20
B021;avocado (Persea americana);Eupatorium salvium Colla;20
B021;avocado (Persea americana);Flourensia thurifera (Molina) DC.;20
B021;avocado (Persea americana);Haplopappus integerrimus (Hook. & Arn.) H.M. Hall;20
B021;avocado (Persea americana);Senna cumingii (Hook. & Arn.) H.S. Irwin & Barneby;20
B021;avocado (Persea americana);Lepechinia salviae (Lindl.) Epling;20
B021;avocado (Persea americana);Sphaeralcea obtusiloba (Hook.) G. Don;20
B021;avocado (Persea americana);Lycium chilense Miers ex Bertero;20
B021;avocado (Persea americana);Alonsoa meridionalis;20
B021;avocado (Persea americana);Baccharis romboidalis;20
B021;avocado (Persea americana);Eryngium paniculatum;20
B021;avocado (Persea americana);Haploapappus macrocephalus;20
B022;avocado (Persea americana);Helianthus annuus;21
B022;avocado (Persea americana);Coriandrum sativum;21
B022;avocado (Persea americana);Medicago sativa;21
B023;oilseed rape (Brassica napus);Alliaria petolata;22
B023;oilseed rape (Brassica napus);Anthriscus sylvestris;22
B023;oilseed rape (Brassica napus);Brassica napus;22
B023;oilseed rape (Brassica napus);Capsellabursa pastoris;22
B023;oilseed rape (Brassica napus);Cardamine pratensis;22
B023;oilseed rape (Brassica napus);Cerastium arvense;22
B023;oilseed rape (Brassica napus);Cerastium fontanum;22
B023;oilseed rape (Brassica napus);Crataegus monogyna;22
B023;oilseed rape (Brassica napus);Euphorbia helioscopa;22
B023;oilseed rape (Brassica napus);Fumaria muralis;22
B023;oilseed rape (Brassica napus);Fumaria officinalis;22
B023;oilseed rape (Brassica napus);Fumaria sp.;22
B023;oilseed rape (Brassica napus);Geranium robertianum;22
B023;oilseed rape (Brassica napus);Labium hybridum;22
B023;oilseed rape (Brassica napus);Matricaria discoidea;22
B023;oilseed rape (Brassica napus);Medicago lupulina;22
B023;oilseed rape (Brassica napus);Papaver sp.;22
B023;oilseed rape (Brassica napus);Poa annua;22
B023;oilseed rape (Brassica napus);Senecio vulgaris;22
B023;oilseed rape (Brassica napus);Sinapis arvensis;22
B023;oilseed rape (Brassica napus);Sisymbrium officinale;22
B023;oilseed rape (Brassica napus);Sonchus oleraceus;22
B023;oilseed rape (Brassica napus);Taraxacum officinale;22
B023;oilseed rape (Brassica napus);Ulex europaeus;22
B023;oilseed rape (Brassica napus);Veronica persica;22
B023;oilseed rape (Brassica napus);Vicia sepium;22
B023;oilseed rape (Brassica napus);Viola tricolor;22
B023;apple (Malus domestica);Anthriscus sylvestris;23
B023;apple (Malus domestica);Arum maculatum;23
B023;apple (Malus domestica);Bellis perennis;23
B023;apple (Malus domestica);Cardamine pratensis;23
B023;apple (Malus domestica);Cerastium fontanum;23
B023;apple (Malus domestica);Crataegus monogyna;23
B023;apple (Malus domestica);Ficaria verna;23
B023;apple (Malus domestica);Hyacinthoides hispanica;23
B023;apple (Malus domestica);Hyacinthoides sp.;23
B023;apple (Malus domestica);Malus pumila;23
B023;apple (Malus domestica);Malus sp.;23
B023;apple (Malus domestica);Myosotis scorpioides;23
B023;apple (Malus domestica);Ranunculus repens;23
B023;apple (Malus domestica);Sambucus nigra;23
B023;apple (Malus domestica);Smyrnium olosatrum;23
B023;apple (Malus domestica);Taraxacum officinale;23
B023;apple (Malus domestica);Viburnum davidii;23
B023;apple (Malus domestica);Viburnum opulus;23
B023;apple (Malus domestica);Vicia sativa;23
B023;apple (Malus domestica);Vicia sepium;23
B023;oilseed rape (Brassica napus);Alliaria petolata;22
B023;oilseed rape (Brassica napus);Anthriscus sylvestris;22
B023;oilseed rape (Brassica napus);Brassica napus;22
B023;oilseed rape (Brassica napus);Capsellabursa pastoris;22
B023;oilseed rape (Brassica napus);Cardamine pratensis;22
B023;oilseed rape (Brassica napus);Cerastium arvense;22
B023;oilseed rape (Brassica napus);Cerastium fontanum;22
B023;oilseed rape (Brassica napus);Crataegus monogyna;22
B023;oilseed rape (Brassica napus);Euphorbia helioscopa;22
B023;oilseed rape (Brassica napus);Fumaria muralis;22
B023;oilseed rape (Brassica napus);Fumaria officinalis;22
B023;oilseed rape (Brassica napus);Fumaria sp.;22
B023;oilseed rape (Brassica napus);Geranium robertianum;22
B023;oilseed rape (Brassica napus);Labium hybridum;22
B023;oilseed rape (Brassica napus);Matricaria discoidea;22
B023;oilseed rape (Brassica napus);Medicago lupulina;22
B023;oilseed rape (Brassica napus);Medicago lupulina;22
B023;oilseed rape (Brassica napus);Poa annua;22
B023;oilseed rape (Brassica napus);Senecio vulgaris;22
B023;oilseed rape (Brassica napus);Sinapis arvensis;22
B023;oilseed rape (Brassica napus);Sisymbrium officinale;22
B023;oilseed rape (Brassica napus);Sonchus oleraceus;22
B023;oilseed rape (Brassica napus);Taraxacum officinale;22
B023;oilseed rape (Brassica napus);Ulex europaeus;22
B023;oilseed rape (Brassica napus);Veronica persica;22
B023;oilseed rape (Brassica napus);Vicia sepium;22
B023;oilseed rape (Brassica napus);Viola tricolor;22
B024;blueberry (Vaccinium corymbosum);Penstemon hirsutus;24
B024;blueberry (Vaccinium corymbosum);Potentilla fruticosa;24
B024;blueberry (Vaccinium corymbosum);Monarda fistulosa;24
B024;blueberry (Vaccinium corymbosum);Veronicastrum virginicum;24
B024;blueberry (Vaccinium corymbosum);Solidago juncea;24
B024;blueberry (Vaccinium corymbosum);Lobelia siphilitica;24
B024;blueberry (Vaccinium corymbosum);Silphium terebinthinaceum;24
B024;blueberry (Vaccinium corymbosum);Agastache nepetoides;24
B024;blueberry (Vaccinium corymbosum);Aster laevis;24
B024;blueberry (Vaccinium corymbosum);Schizachyrium scoparium;24
B025;mango (Mangifera indica);Coccinia grandis (L.) Voigt;25
B025;mango (Mangifera indica);Tridax procumbens;25
B025;mango (Mangifera indica);Ruellia tuberosa Linn.;25
B025;mango (Mangifera indica);Euphorbia heterophylla L.;25
B025;mango (Mangifera indica);Cleome rutidosperma;25
B026;apple (Malus domestica);Achillea millefolium;26
B026;apple (Malus domestica);Allium fistulosum;26
B026;apple (Malus domestica);Anthemis tinctoria;26
B026;apple (Malus domestica);Borago officinalis;26
B026;apple (Malus domestica);Calendula officinalis;26
B026;apple (Malus domestica);Camelina sativa;26
B026;apple (Malus domestica);Campanula rapunculoides;26
B026;apple (Malus domestica);Carduus nutans;26
B026;apple (Malus domestica);Centaurea cyanus;26
B026;apple (Malus domestica);Centaurea jacea;26
B026;apple (Malus domestica);Cichorium intybus;26
B026;apple (Malus domestica);Coriandrum sativum;26
B026;apple (Malus domestica);Daucus carota;26
B026;apple (Malus domestica);Echium vulgare;26
B026;apple (Malus domestica);Fagopyrum esculentum;26
B026;apple (Malus domestica);"Helianthus annuus ""Pollensorte""";26
B026;apple (Malus domestica);Hypericum perforatum;26
B026;apple (Malus domestica);Isatis tinctoria;26
B026;apple (Malus domestica);Knautia arvensis;26
B026;apple (Malus domestica);Leucanthemum ircutianum/vulgare;26
B026;apple (Malus domestica);Linum grandiflorum;26
B026;apple (Malus domestica);Linum usitatissimum;26
B026;apple (Malus domestica);Lotus corniculatus;26
B026;apple (Malus domestica);Malva moschata;26
B026;apple (Malus domestica);Malva sylvestris;26
B026;apple (Malus domestica);Medicago lupulina;26
B026;apple (Malus domestica);Medicago sativa;26
B026;apple (Malus domestica);Melilotus albus;26
B026;apple (Malus domestica);Melilotus officinalis;26
B026;apple (Malus domestica);Onobrychis viciifolia;26
B026;apple (Malus domestica);Origanum vulgare;26
B026;apple (Malus domestica);Papaver rhoeas;26
B026;apple (Malus domestica);Pastinaca sativa;26
B026;apple (Malus domestica);Phacelia tanacetifolia;26
B026;apple (Malus domestica);Plantago lanceolata;26
B026;apple (Malus domestica);Reseda lutea;26
B026;apple (Malus domestica);Reseda luteola;26
B026;apple (Malus domestica);Salvia pratensis;26
B026;apple (Malus domestica);Sanguisorba minor;26
B026;apple (Malus domestica);Silene dioica;26
B026;apple (Malus domestica);Silene latifolia ssp. alba;26
B026;apple (Malus domestica);Silene vulgaris;26
B026;apple (Malus domestica);Sinapis alba;26
B026;apple (Malus domestica);Sinapis arvensis;26
B026;apple (Malus domestica);Solidago virgaurea;26
B026;apple (Malus domestica);Tanacetum vulgare;26
B026;apple (Malus domestica);Trifolium incarnatum;26
B026;apple (Malus domestica);Verbascum densiflorum;26
B026;apple (Malus domestica);Verbascum nigrum;26
B026;apple (Malus domestica);Vicia sativa;26
B027;oilseed rape (Brassica napus);Fagopyrum esculentum;27
B027;oilseed rape (Brassica napus);Onobrychis viciifolia;27
B027;oilseed rape (Brassica napus);Thinopyrum intermedium;27
B027;oilseed rape (Brassica napus);Helianthus annuus;27
B027;oilseed rape (Brassica napus);Phacelia tanacetifolia;27
B027;oilseed rape (Brassica napus);Trifolium  incarnatum;27
B027;oilseed rape (Brassica napus);Dalea candida;27
B027;oilseed rape (Brassica napus);Dalea purpurea;27
B027;oilseed rape (Brassica napus);Nassella viridula;27
B027;oilseed rape (Brassica napus);Schizachyrium scoparium;27
B027;oilseed rape (Brassica napus);Medicago sativa;27
B027;oilseed rape (Brassica napus);Cichorium intybus;27
B027;oilseed rape (Brassica napus);Bouteloua gracilis;27
